application_status,license_type,APPLICATION_CLASSIFICATION,APPLICATION_CLASSIFICATION - Split 1,APPLICATION_CLASSIFICATION - Split 2,APPROVED_LICENSE_TYPE,Approved_License_Stages,commence_operations_date,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,CCCUpdateDate
APPROVED,Marijuana Product Manufacturer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282151,"Winchendon Grows, LLC",Winchendon,MA,01475,42.661612,-72.047876,12 Mount Vernon Street,#47,Melrose,MA,02176,POINT (-71.840209 42.329642),POINT (-72.047876 42.6616119),12 Mount Vernon Street,#47,Melrose,MA,02176,87-1275849,MPN282151,Thu Jan 20 2022 13:01:36 GMT-0500 (Eastern Standard Time),Tue Jan 11 2022 13:24:41 GMT-0500 (Eastern Standard Time),Wed May 10 2023 16:09:00 GMT-0400 (Eastern Daylight Time),,no,,,,,,,,Not a DBE,,,,Mon Nov 22 2021 15:45:12 GMT-0500 (Eastern Standard Time),Mon Feb 07 2022 14:28:30 GMT-0500 (Eastern Standard Time),Thu May 12 2022 14:13:04 GMT-0400 (Eastern Daylight Time),Wed May 10 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri May 10 2024 04:00:00 GMT-0400 (Eastern Daylight Time),,N/A,Worcester County,1500,10000,01475,Winchendon,Worcester,42.329642,-71.840209,Central MA,9/5/2023
APPROVED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,PMD5840,Lucky Green Ladies LLC,N/A,,N/A,,,820 Pulaski Blvd,,Bellingham,MA,02019,,,820 Pulaski Blvd,,Bellingham,MA,02019,85-2986516,PMDA5840,Tue Aug 17 2021 07:54:20 GMT-0400 (Eastern Daylight Time),Thu Aug 05 2021 16:03:36 GMT-0400 (Eastern Daylight Time),,,,SE303977,,,,,,,Woman-Owned Business,,,,Sun May 30 2021 15:22:23 GMT-0400 (Eastern Daylight Time),Fri Aug 27 2021 11:01:15 GMT-0400 (Eastern Daylight Time),Mon Aug 30 2021 11:01:27 GMT-0400 (Eastern Daylight Time),Mon Aug 30 2021 04:00:00 GMT-0400 (Eastern Daylight Time),Wed Aug 30 2023 04:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,8/14/2023
APPROVED,Marijuana Cultivator,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MC281828,BVO LLC,Oxford,MA,01537,42.16089,-71.898044,4 Pioneer Drive,,Oxford,MA,01537,POINT (-71.840209 42.329642),POINT (-71.898043 42.1608900),782 Parker Street,,East Longmeadow,MA,01028,83-2996684,MCN281828,Mon Aug 02 2021 17:25:17 GMT-0400 (Eastern Daylight Time),Tue Jun 08 2021 12:39:43 GMT-0400 (Eastern Daylight Time),Wed Dec 01 2021 12:03:51 GMT-0500 (Eastern Standard Time),,yes,SE303886,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,Sun Dec 02 2018 07:51:26 GMT-0500 (Eastern Standard Time),Fri Aug 13 2021 11:15:06 GMT-0400 (Eastern Daylight Time),Thu Nov 18 2021 14:34:50 GMT-0500 (Eastern Standard Time),Thu Mar 09 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sat Mar 09 2024 03:00:00 GMT-0500 (Eastern Standard Time),4 Pioneer Dr,N/A,Worcester County,400,1250,01537,North Oxford,Worcester,42.329642,-71.840209,,9/5/2023
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR283074,"Silver Therapeutics, Inc.",Boston,MA,02121,42.28318,-71.114194,82 Wendell Ave,Suite 100,Pittsfield,MA,01201,POINT (-71.073493 42.334948),POINT (-71.114193 42.2831800),89 Court Street,,Saratoga Springs,NY,12866,82-1894711,MRN283074,Tue May 05 2020 12:08:33 GMT-0400 (Eastern Daylight Time),Fri Mar 06 2020 00:00:00 GMT-0500 (Eastern Standard Time),Fri Oct 09 2020 12:42:06 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201854,RPA201854,Not a DBE,,,,Wed Oct 23 2019 13:01:12 GMT-0400 (Eastern Daylight Time),Tue Jul 07 2020 09:48:41 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 13:46:31 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Oct 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),721 American Legion Hwy,N/A,Suffolk County,1500,10000,02121,Boston,Suffolk,42.334948,-71.073493,Metro Boston,9/5/2023
APPROVED,Marijuana Retailer,General Applicant,General Applicant,General Applicant,COMMENCE OPS,COMMENCE OPS,3/1/2021,COMPLETE,MR283231,Caregiver-Patient Connection LLC/d.b.a. Local Roots,Sturbridge,MA,01566,42.111219,-72.088797,365 Main St,,Sturbridge,MA,01566,POINT (-71.840209 42.329642),POINT (-72.088797 42.1112189),"910 Boston Post Rd., Ste. #310",,Marlborough,MA,01752,83-3954417,MRN283231,Tue Jul 21 2020 13:30:03 GMT-0400 (Eastern Daylight Time),Tue May 26 2020 10:41:44 GMT-0400 (Eastern Daylight Time),,True,,,,,,APPROVED,RP201819,,Not a DBE,,,Thu Feb 11 2021 03:00:00 GMT-0500 (Eastern Standard Time),Mon Jan 13 2020 12:49:49 GMT-0500 (Eastern Standard Time),Fri Jul 24 2020 08:56:50 GMT-0400 (Eastern Daylight Time),Thu Sep 10 2020 12:50:33 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Thu Oct 19 2023 04:00:00 GMT-0400 (Eastern Daylight Time),365 Main St,N/A,Worcester County,1500,10000,01566,Sturbridge,Worcester,42.329642,-71.840209,Central MA,9/5/2023
APPROVED,Marijuana Microbusiness,Expedited Review - License Type,Expedited,License Type,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MB281346,Magic Dragon LLC,Worcester,MA,01603,42.24124,-71.831032,61 Fremont St,,Worcester,MA,01603,POINT (-71.840209 42.329642),POINT (-71.831031 42.2412399),5 Fan Pier Blvd,Unit 1001,Boston,MA,02210,83-4248176,MBN281346,Mon Jan 06 2020 08:52:43 GMT-0500 (Eastern Standard Time),Wed Oct 09 2019 00:00:00 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,Not a DBE,,,,Sat Apr 28 2018 05:57:01 GMT-0400 (Eastern Daylight Time),Mon Jan 06 2020 00:00:00 GMT-0500 (Eastern Standard Time),Thu Mar 05 2020 12:21:51 GMT-0500 (Eastern Standard Time),Thu Aug 11 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Aug 12 2023 04:00:00 GMT-0400 (Eastern Daylight Time),41 Fremont St,N/A,Worcester County,300,5625,01603,Worcester,Worcester,42.329642,-71.840209,Central MA,9/5/2023
APPROVED,Marijuana Retailer,Priority Review - MTC Priority,Priority,MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MR281971,"Wellness Connection of MA, Inc",Revere,MA,02151,42.403165,-71.00738,44 Railroad Street,,Revere,MA,02151,POINT (-71.073493 42.334948),POINT (-71.007379 42.4031650),44 Railroad Street,,Revere,MA,02151,47-4380834,MRN281971,Mon Oct 26 2020 22:28:56 GMT-0400 (Eastern Daylight Time),Wed Oct 21 2020 14:10:03 GMT-0400 (Eastern Daylight Time),Wed Jan 20 2021 12:18:43 GMT-0500 (Eastern Standard Time),True,,,,,,APPROVED,RP201942,RP201942,Not a DBE,,,,Mon Oct 15 2018 17:43:48 GMT-0400 (Eastern Daylight Time),Thu Oct 29 2020 11:45:05 GMT-0400 (Eastern Daylight Time),Thu Jan 14 2021 15:51:16 GMT-0500 (Eastern Standard Time),Thu Jan 12 2023 03:00:00 GMT-0500 (Eastern Standard Time),Sun Feb 11 2024 03:00:00 GMT-0500 (Eastern Standard Time),44 Railroad St,N/A,Suffolk County,1500,10000,02151,Revere,Suffolk,42.334948,-71.073493,Metro Boston,9/5/2023
APPROVED,Marijuana Cultivator,Priority Review - MTC Priority,Priority,MTC Priority,COMMENCE OPS,COMMENCE OPS,1/16/2019,COMPLETE,MC281319,"Northeast Alternatives, Inc.",Fall River,MA,02721,41.665495,-71.156976,999 William S. Canning Blvd.,,Fall River,MA,02721,POINT (-71.102131 41.778329),POINT (-71.156976 41.665495),999 William S. Canning Blvd.,,Fall River,MA,02721,82-0744804,MCN281319,Fri Jul 13 2018 10:07:40 GMT-0400 (Eastern Daylight Time),Mon May 21 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Fri Sep 21 2018 10:56:30 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201952,RPA201952,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",Thu Dec 13 2018 03:00:00 GMT-0500 (Eastern Standard Time),Sun Apr 29 2018 20:43:35 GMT-0400 (Eastern Daylight Time),Thu Jul 19 2018 00:00:00 GMT-0400 (Eastern Daylight Time),Thu Sep 06 2018 14:30:15 GMT-0400 (Eastern Daylight Time),Thu Oct 13 2022 04:00:00 GMT-0400 (Eastern Daylight Time),Sat Oct 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),999 William S Canning Blvd,N/A,Bristol County,500,1250,02721,Fall River,Bristol,41.778329,-71.102131,Southeast and Cape,9/5/2023
APPROVED,Marijuana Product Manufacturer,Priority Review - MTC Priority,Priority,MTC Priority,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP281517,"Beacon Compassion, Inc",Attleboro,MA,02703,41.919957,-71.319582,900 Washington Street,Ste A,Norwood,MA,02062,POINT (-71.102131 41.778329),POINT (-71.319581 41.9199569),900 Washington Street,Ste A,Norwood,MA,02062,83-2057586,MPN281517,Wed Nov 28 2018 13:48:41 GMT-0500 (Eastern Standard Time),Tue Nov 06 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Apr 25 2019 10:18:20 GMT-0400 (Eastern Daylight Time),True,,,,,,APPROVED,RP201902,RPA201902,Not a DBE,,,,Thu Oct 18 2018 15:32:59 GMT-0400 (Eastern Daylight Time),Mon Dec 10 2018 00:00:00 GMT-0500 (Eastern Standard Time),Thu Feb 21 2019 16:07:37 GMT-0500 (Eastern Standard Time),Fri Apr 14 2023 04:00:00 GMT-0400 (Eastern Daylight Time),Fri Apr 26 2024 04:00:00 GMT-0400 (Eastern Daylight Time),30 Franklin R Mckay Rd,N/A,Bristol County,300,5000,02703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,9/5/2023
APPROVED,Marijuana Product Manufacturer,Expedited Review - Two or More,Expedited,Two or More,PROVISIONAL LICENSE,PROVISIONAL LICENSE,,COMPLETE,MP282039,"LMCC, LLC",Taunton,MA,02780,41.896308,-71.085898,30 Sherwood Drive,,Taunton,MA,02780,POINT (-71.102131 41.778329),POINT (-71.085898 41.8963079),16 Holden Road,,Belmont,MA,02478,84-1976891,MPN282039,Tue Jan 18 2022 13:27:08 GMT-0500 (Eastern Standard Time),Tue Apr 20 2021 14:14:10 GMT-0400 (Eastern Daylight Time),Thu Feb 02 2023 11:52:52 GMT-0500 (Eastern Standard Time),,yes,SE304245,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,Mon Feb 22 2021 11:56:32 GMT-0500 (Eastern Standard Time),Fri Jan 21 2022 07:34:41 GMT-0500 (Eastern Standard Time),Thu Apr 07 2022 12:49:25 GMT-0400 (Eastern Daylight Time),Thu Feb 02 2023 03:00:00 GMT-0500 (Eastern Standard Time),Fri Feb 02 2024 03:00:00 GMT-0500 (Eastern Standard Time),30 Sherwood Dr,N/A,Bristol County,,5000,02780,Taunton,Bristol,41.778329,-71.102131,Southeast and Cape,9/5/2023
