application_status,license_type,APPLICATION_CLASSIFICATION,APPROVED_LICENSE_TYPE,Approved_License_Stages,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,ORIGINAL_SUBMITTED_DATE,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,APPLICATION_DENIED_DATE,CCCUpdateDate,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ID
REOPENED,Marijuana Transporter with Other Existing ME License,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MX281367,"Izapa Stela 5, LLC",Winchendon,,01475,,,703 School St,,Winchendon,MA,01475,POINT (-71.840209 42.329642),,703 School St,,Winchendon,MA,01475,84-2784794,MXN281367,10/7/2022 02:24:14 PM,2/16/2023 02:47:57 PM,12/5/2022 11:51:52 AM,,,yes,SE304282,SE304282,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,3/29/2020 12:10:28 PM,,,,,,,,,,,0,01475,Winchendon,Worcester,42.329642,-71.840209,Central MA,188
PENDING,Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282203,OGeez Brands MA LLC,Hopedale,,01747,,,6 Charlesview Road,Suite 1,Hopedale,MA,01747,POINT (-71.840209 42.329642),,55 Linden St,,Douglas,MA,01516,88-2417250,MPN282203,10/4/2022 09:14:06 AM,12/28/2022 03:16:44 PM,11/17/2022 10:03:03 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,5/16/2022 12:48:25 PM,,,,,,,,,,,0,01747,Hopedale,Worcester,42.329642,-71.840209,Central MA,278
PENDING,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282258,CATDOGG LLC,Mashpee,MA,02649,41.604257,-70.495468,800 Falmouth Road,,Mashpee,MA,02649,POINT (-70.301811 41.698999),POINT (-70.495468 41.6042569),565 Whistleberry Drive,,Marstons Mills,MA,02648,92-1109731,MPN282258,2/6/2023 11:53:00 AM,3/15/2023 10:17:42 AM,2/8/2023 09:17:21 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,2/4/2023 10:36:03 PM,3/17/2023 09:24:24 AM,,,,,4/24/2023,800 Falmouth Rd,N/A,Barnstable County,,0,02649,Mashpee,Barnstable,41.698999,-70.301811,Southeast and Cape,636
REOPENED,Marijuana Courier,Priority Review - Economic Empowerment Priority,IN PROCESS,IN PROCESS,INCOMPLETE,DO100133,"North East Gro, LLC.",Boston,,02122,,,34 Larchmont Street,,Boston,MA,02124,POINT (-71.073493 42.334948),,34 Larchmont Street,,Boston,MA,02124,00-1392220,DOA100133,5/2/2021 09:05:02 AM,5/10/2021 09:01:42 AM,5/4/2021 12:30:38 PM,,True,,EE202222,SE303585,APPROVED,EE202222,,,,,Minority-Owned Business,,,,,,,,,,,,,,,2/15/2021 11:51:03 AM,,,,,,,,,,,0,02122,Boston,Suffolk,42.334948,-71.073493,Metro Boston,433
REOPENED,Marijuana Cultivator,Expedited Review - License Type,IN PROCESS,IN PROCESS,INCOMPLETE,MC282532,Twisted Yields,Colrain,,01340,,,108 W Leyden Rd,,Colrain,MA,01340,POINT (-72.573941 42.587072),,108 W Leyden Rd,,Colrain,MA,01340,83-3644696,MCN282532,6/24/2020 10:03:08 AM,6/24/2020 10:03:08 AM,7/8/2020 02:40:48 PM,,,no,,,,,,,,,Not a DBE,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,12/7/2019 01:02:05 AM,,,,,,,,,,,0,01340,Colrain,Franklin,42.587072,-72.573941,Western MA,139
REOPENED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MR282983,"Legal Greens, LLC",Boston,,02125,,,693 Dudley Street,,Boston,MA,02125,POINT (-71.073493 42.334948),,71 Legion pkwy,,Brockton,MA,02301,84-2345222,MRN282983,8/5/2020 09:36:52 PM,10/28/2020 12:25:16 PM,8/10/2020 01:40:57 PM,,True,no,,,,,EE202434,,,,Minority-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,,9/11/2019 09:40:10 AM,,,,,,,,,,,0,02125,Boston,Suffolk,42.334948,-71.073493,Metro Boston,436
REOPENED,Marijuana Retailer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR283604,R2 Resilient Remedies LLC,Boston,,02129,,,31 Cambridge Street,,Charlestown,MA,02129,POINT (-71.073493 42.334948),,20 Park Plaza,Suite 1118,Boston,MA,02116,85-0818845,MRN283604,12/13/2021 11:41:44 AM,7/12/2022 04:47:02 PM,12/21/2021 02:14:24 PM,,,yes,SE304074,SE304074,,,,,,,Not a DBE,,,,,,,,,,,,,,,6/18/2020 04:15:54 PM,,,,,,,,,,,0,02129,Charlestown,Suffolk,42.334948,-71.073493,,440
PENDING,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284775,Aro 31 LLC,Marblehead,MA,01945,42.513688,-70.858669,222 Beacon Street,,Marblehead,MA,01945,POINT (-70.970827 42.635475),POINT (-70.858669 42.5136880),243 Green Street,,Marblehead,MA,01945,86-2014877,MRN284775,1/2/2023 09:51:08 AM,3/1/2023 03:19:37 PM,1/17/2023 12:04:26 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,9/29/2022 02:06:36 PM,3/10/2023 11:29:21 AM,,,,,4/24/2023,222 Beacon St,Unit 2 and 3,Essex County,,0,01945,Marblehead,Essex,42.635475,-70.970827,Northeast,364
REOPENED,Marijuana Retailer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR282413,Royal Highness,Southbridge,,01550,,,69 Fiske St,,Southbridge,MA,01550,POINT (-71.840209 42.329642),,69 Fiske St,,Southbridge,MA,01550,83-3604480,MRN282413,6/2/2021 09:04:50 AM,6/2/2021 09:04:50 AM,6/16/2021 12:20:10 PM,,,yes,SE303693,SE303693,,,,,,,Not a DBE | Woman-Owned Business,,,,,,,,,,,,,,,2/16/2019 01:10:23 PM,,,,,,,,,,,0,01550,Southbridge,Worcester,42.329642,-71.840209,Central MA,226
REOPENED,Marijuana Research Facility,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,RE281307,"IMMAD, LLC",Quincy,,02169,,,62 Forest Ave,"1372 Hancock St.  Quincy, MA #305B",Quincy,MA,02169,POINT (-71.15444 42.199156),,62 Forest Ave,,Quincy,MA,02169,81-1365092,REN281307,5/3/2020 10:57:32 AM,5/3/2020 10:57:32 AM,9/14/2021 02:17:06 PM,,,,,SE304262,,,,,,,Disability-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,,7/2/2019 12:49:26 PM,,,,,,,,,,,0,02169,Quincy,Norfolk,42.199156,-71.15444,Metro Boston,466
PENDING,Marijuana Retailer,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MR284380,Raíces on the Hill LLC,Boston,,02120,,,123 Terrace Street,,Boston,MA,02120,POINT (-71.073493 42.334948),,123 Terrace Street,,Boston,MA,02120,83-4706346,MRN284380,2/25/2022 08:15:28 PM,2/11/2023 05:53:38 PM,3/11/2022 11:49:08 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,8/26/2021 08:15:52 AM,,,,,,,,,,,0,02120,Boston,Suffolk,42.334948,-71.073493,Metro Boston,431
REOPENED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PDO103504,FASTEDDYBOSTON,N/A,,N/A,,,176 D,,Dracut,MA,01826,,,176 D street,,Dracut,MA,01826,83-3222324,PDOA103504,10/14/2021 02:16:18 PM,3/22/2022 12:37:53 PM,12/2/2021 02:45:08 PM,,,,SE305297,SE305297,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,,5/15/2021 03:09:23 PM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP281643,"BeWell Organic Medicine, Inc.",Lowell,,01852,,,92 Bolt Street,,Lowell,MA,01852,POINT (-71.275566 42.459085),,280 Merrimack Street,,Methuen,MA,01844,46-3466824,MPN281643,6/30/2019 01:38:19 PM,7/1/2019 09:28:16 PM,1/16/2020 12:00:00 AM,,,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,4/8/2019 11:42:46 AM,,,,,,,,,,,0,01852,Lowell,Middlesex,42.459085,-71.275566,Northeast,322
PENDING,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284877,Berkley Botanicals LLC,Whitman,,02382,,,305 Bedford Street,,WhitmaN,MA,02382,POINT (-70.818958 41.978877),,44 county street,,berkley,MA,02779,83-3275518,MRN284877,4/19/2023 03:00:14 PM,4/19/2023 03:00:14 PM,,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,2/21/2023 09:01:33 AM,,,,,,,,,,,0,02382,Whitman,Plymouth,41.978877,-70.818958,Southeast and Cape,550
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282113,"Pleasantrees, Inc.",Easthampton,,01027,,,195 Northampton Street,,Easthampton,MA,01027,POINT (-72.62073 42.322256),,195 Northampton Street,,Easthampton,MA,01027,81-4397799,MPN282113,10/26/2021 10:34:57 AM,10/26/2021 10:34:57 AM,11/4/2021 02:03:56 PM,,True,no,,,,,,APPROVED,RP201924,RP201924,Not a DBE,,,,,,,,,,,,,,,8/20/2021 02:17:59 PM,,,,,,,,,,,0,01027,Easthampton,Hampshire,42.322256,-72.62073,Western MA,18
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283751,Aura Cannabis Company LLC,Fall River,,02721,,,83 Development Street,,Fall River,MA,02721,POINT (-71.102131 41.778329),,P.O. Box 3313,,Westport,MA,02790,83-3918824,MCN283751,6/22/2022 03:39:55 PM,6/22/2022 03:39:55 PM,7/1/2022 09:07:20 AM,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,6/13/2022 01:46:14 PM,,,,,,,,,,,0,02721,Fall River,Bristol,41.778329,-71.102131,Southeast and Cape,668
REOPENED,Marijuana Courier,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,DO100101,Hizzy Inc.,Plymouth,,02360,,,5 Robert J Way,,Plymouth,MA,02360,POINT (-70.818958 41.978877),,298 NICHOLS DR,,TAUNTON,MA,02780,85-1118691,DOA100101,8/11/2020 12:58:27 PM,8/11/2020 12:58:27 PM,8/18/2020 04:04:33 PM,,,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,6/30/2020 10:29:37 AM,,,,,,,,,,,0,02360,Plymouth,Plymouth,41.978877,-70.818958,Southeast and Cape,539
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282261,"Natural Bliss, LLC",Uxbridge,,01569,,,400 West Street,,Uxbridge,MA,01569,POINT (-71.840209 42.329642),,400 West Street,,Uxbridge,MA,01569,35-2781694,MPN282261,3/27/2023 05:17:01 PM,3/27/2023 05:17:01 PM,4/5/2023 11:48:54 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,2/7/2023 08:09:28 PM,,,,,,,,,,,0,01569,Uxbridge,Worcester,42.329642,-71.840209,Central MA,233
REOPENED,Marijuana Cultivator,Expedited Review - License Type,IN PROCESS,IN PROCESS,INCOMPLETE,MC283472,"Hercules ,Mendez ,Hercules-Pena Cannabis",Barnstable,,02601,,,14 Pepper Lane,,Hyannis,MA,02601,POINT (-70.301811 41.698999),,14 Pepper Lane,,Hyannis,MA,02601,02-7825540,MCN283472,8/21/2021 05:49:53 PM,2/17/2022 09:33:56 PM,8/24/2021 03:52:23 PM,,,no,,,,,,,,,Not a DBE,Outdoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,4/12/2021 04:29:37 PM,,,,,,,,,,,0,02601,Hyannis,Barnstable,41.698999,-70.301811,,617
REOPENED,Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282246,Belle Fleur Holdings LLC,Blandford,,01008,,,138 Otis Stage Rd,,Blandford,MA,01008,POINT (-72.571312 42.12756),,138 Otis Stage Rd,,Blandford,MA,01008,84-2084638,MPN282246,11/17/2022 09:35:26 AM,11/17/2022 09:35:26 AM,11/22/2022 03:01:24 PM,,,yes,SE304491,,,,,,,,Not a DBE,,,,,,,,,,,,,,,11/16/2022 04:26:22 PM,,,,,,,,,,,0,01008,Blandford,Hampden,42.12756,-72.571312,Western MA,7
REOPENED,Marijuana Delivery Operator,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MD1324,"Trevor Express, Inc.",Natick,,01760,,,211 Oak Street,,Natick,MA,01760,POINT (-71.275566 42.459085),,9 Bartlet Street,#322,Andover,MA,01810,88-2036288,MDA1324,12/21/2022 03:34:31 PM,1/25/2023 01:44:23 PM,12/28/2022 03:53:04 PM,,,,SE304844,SE304844,,,,,,,Not a DBE,,,,,,,,,,,,,,,12/2/2022 11:36:16 PM,,,,,,,,,,,0,01760,Natick,Middlesex,42.459085,-71.275566,Central MA,285
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC282463,Yankee Cannabis Company,Holyoke,,01040,,,380 Dwight St.,,Holyoke,MA,01040,POINT (-72.571312 42.12756),,139 Damon Rd.,,Northampton,MA,01060,12-1234567,MCN282463,1/29/2020 12:46:14 PM,1/29/2020 12:46:14 PM,4/13/2020 12:00:00 AM,,,,,,,,,,,,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,10/24/2019 12:44:00 PM,,,,,,,,,,,0,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,31
REOPENED,Marijuana Retailer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284206,Ember Gardens Boston LLC,Boston,,02115,,,297 Newbury Street,First Floor,Boston,MA,02115,POINT (-71.073493 42.334948),,254 Newhill Avenue,,Somerset,MA,02726,85-2194259,MRN284206,4/8/2021 12:50:19 PM,6/25/2021 03:54:04 PM,4/9/2021 03:52:03 PM,,,yes,SE304227,,,,,,,,Not a DBE,,,,,,,,,,,,,,,4/2/2021 12:14:21 PM,,,,,,,,,,,0,02115,Boston,Suffolk,42.334948,-71.073493,Metro Boston,426
PENDING,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284774,"UC Retail, LLC",Bolton,MA,01740,42.430045,-71.589066,476 Main Street,,Bolton,MA,01740,POINT (-71.840209 42.329642),POINT (-71.589066 42.430045),601 Fitchburg State Road,,Ashby,MA,01431,87-2349254,MRN284774,10/6/2022 12:31:01 PM,1/30/2023 10:48:24 AM,11/29/2022 02:23:49 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,9/29/2022 09:15:04 AM,2/17/2023 08:56:09 AM,,,,,4/24/2023,476 Main St,N/A,Worcester County,,0,01740,Bolton,Worcester,42.329642,-71.840209,Central MA,273
REOPENED,Marijuana Cultivator,Expedited Review - License Type,IN PROCESS,IN PROCESS,INCOMPLETE,MC283767,Greenfield Farms LLC,Greenfield,,01301,,,82 Wendell Ave.,Suite 100,Pittsfield,MA,01201,POINT (-72.573941 42.587072),,446 Country Club Road,Suite C,Greenfield,MA,01301,88-3004861,MCN283767,8/2/2022 02:23:58 PM,9/22/2022 04:01:46 PM,8/18/2022 11:13:43 AM,,,no,,,,,,,,,Not a DBE,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,7/25/2022 07:32:14 PM,,,,,,,,,,,0,01301,Greenfield,Franklin,42.587072,-72.573941,Western MA,132
REOPENED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR282419,"Plantopia Care Center, Inc.",Swansea,,02777,,,"c/o Steve Monacelli, 36 Exchange Terrace",,Providence,RI,02903,POINT (-71.102131 41.778329),,"c/o Steve Monacelli, 36 Exchange Terrace",,Providence,RI,02903,83-3621755,MRN282419,4/22/2019 04:57:16 PM,4/22/2019 04:57:16 PM,10/30/2019 12:00:00 AM,,True,,,,,,,APPROVED,RP201968,,Not a DBE,,,,,,,,,,,,,,,2/19/2019 08:47:56 AM,,,,,,,,,,,0,02777,Swansea,Bristol,41.778329,-71.102131,Southeast and Cape,696
PENDING,Marijuana Retailer,Priority Review - Economic Empowerment Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MR281304,NashMac LLC,Abington,,02351,,,654 Washington Street,,Braintree,MA,02184,POINT (-70.818958 41.978877),,"654 Washington Street, Ste. 100",,Braintree,MA,02184,82-5195312,MRN281304,12/3/2021 06:28:39 PM,11/6/2022 10:19:56 PM,12/7/2021 09:44:29 AM,,True,yes,EE202159,SE303505,APPROVED,EE202159,EE202159,,,,Not a DBE,,,,,,,,,,,,,,,4/23/2018 09:26:25 PM,,,,,,,,,,,0,02351,Abington,Plymouth,41.978877,-70.818958,Southeast and Cape,533
REOPENED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PDO103043,A-K Elevates,N/A,,N/A,,,1235 VFW Parkway,,Boston,MA,02132,,,1235 VFW Parkway,,Boston,MA,02132,85-1204130,PDOA103043,5/1/2021 11:42:56 AM,5/1/2021 11:42:56 AM,5/4/2021 03:08:14 PM,,,,SE303598,SE303598,,,,,,,"Disability-Owned Business | Woman-Owned Business | Minority-Owned Business | Lesbian, Gay, Bisexual, and Transgender Owned Business",,,,,,,,,,,,,,,5/28/2020 09:21:57 PM,,,,,,,,,,,0,,,,,,,
